DOW,count,sum,mean,win_rate_pct,profit_factor,low_sample_flag
Monday,15.0,949.9799999999999,63.331999999999994,53.333333333333336,2.6198823429107336,True
Tuesday,20.0,795.9399999999999,39.797,40.0,1.7232596388881316,True
Wednesday,28.0,278.15,9.93392857142857,35.714285714285715,1.1680461575640408,True
Thursday,23.0,921.9,40.082608695652176,56.52173913043478,2.000075935910092,True
Friday,15.0,555.8499999999999,37.05666666666666,53.333333333333336,1.8728389052023302,True
Saturday,,,,,,True
Sunday,,,,,,True
