Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
40,,2025-01-05 18:00:00,,,,-1.0,1.0,-18.75,-18.75,4.04,-22.79,-4.558,-18.75,-22.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-22.79
42,,2025-01-06 07:45:00,,,,-1.0,1.0,90.0,90.0,4.04,85.96,17.192,90.0,85.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,85.96
44,,2025-01-06 11:00:00,,,,-1.0,1.0,131.25,131.25,4.04,127.21,25.442,131.25,127.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,127.21
46,,2025-01-06 16:00:00,,,,1.0,1.0,92.5,92.5,4.04,88.46,17.692,92.5,88.46,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,88.46
48,,2025-01-07 09:45:00,,,,-1.0,1.0,97.5,97.5,4.04,93.46,18.692,97.5,93.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,93.46
50,,2025-01-07 18:00:00,,,,1.0,1.0,5.0,5.0,4.04,0.96,0.192,5.0,0.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,0.96
52,,2025-01-08 06:45:00,,,,1.0,1.0,90.0,90.0,4.04,85.96,17.192,90.0,85.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,85.96
54,,2025-01-08 12:30:00,,,,-1.0,1.0,-180.0,-180.0,4.04,-184.04,-20.0,-180.0,-184.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,84.03999999999999,-100.0
56,,2025-01-08 18:00:00,,,,-1.0,1.0,-70.0,-70.0,4.04,-74.04,-14.808000000000002,-70.0,-74.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-74.04
58,,2025-01-09 18:45:00,,,,-1.0,1.0,-107.5,-107.5,4.04,-111.54,-20.0,-107.5,-111.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC LossLimit),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,11.540000000000006,-100.0
60,,2025-01-10 08:45:00,,,,-1.0,1.0,-132.5,-132.5,4.04,-136.54,-20.0,-132.5,-136.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,36.53999999999999,-100.0
62,,2025-01-12 18:00:00,,,,1.0,1.0,106.25,106.25,4.04,102.21,20.442,106.25,102.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,102.21
64,,2025-01-13 10:45:00,,,,1.0,1.0,-147.5,-147.5,4.04,-151.54,-20.0,-147.5,-151.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC LossLimit),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,51.53999999999999,-100.0
66,,2025-01-13 18:00:00,,,,-1.0,1.0,68.75,68.75,4.04,64.71,12.941999999999998,68.75,64.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,64.71
68,,2025-01-14 16:45:00,,,,1.0,1.0,-85.0,-85.0,4.04,-89.04,-17.808,-85.0,-89.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-89.04
70,,2025-01-15 18:00:00,,,,-1.0,1.0,42.5,42.5,4.04,38.46,7.692,42.5,38.46,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,38.46
72,,2025-01-16 10:15:00,,,,1.0,1.0,118.75,118.75,4.04,114.71,22.942,118.75,114.71,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,114.71
74,,2025-01-16 16:30:00,,,,1.0,1.0,103.75,103.75,4.04,99.71,19.942,103.75,99.71,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,99.71
76,,2025-01-17 09:15:00,,,,-1.0,1.0,162.5,162.5,4.04,158.46,31.692,162.5,158.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,158.46
78,,2025-01-19 18:00:00,,,,-1.0,1.0,-33.75,-33.75,4.04,-37.79,-7.558,-33.75,-37.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-37.79
80,,2025-01-20 09:45:00,,,,-1.0,1.0,131.25,131.25,4.04,127.21,25.442,131.25,127.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,127.21
82,,2025-01-21 13:15:00,,,,-1.0,1.0,125.0,125.0,4.04,120.96,24.192,125.0,120.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,120.96
84,,2025-01-21 18:00:00,,,,-1.0,1.0,55.0,55.0,4.04,50.96,10.192,55.0,50.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,50.96
86,,2025-01-22 11:45:00,,,,-1.0,1.0,82.5,82.5,4.04,78.46,15.691999999999998,82.5,78.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,78.46
88,,2025-01-23 11:30:00,,,,-1.0,1.0,93.75,93.75,4.04,89.71,17.942,93.75,89.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,89.71
90,,2025-01-23 16:00:00,,,,-1.0,1.0,48.75,48.75,4.04,44.71,8.942,48.75,44.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,44.71
92,,2025-01-24 10:00:00,,,,-1.0,1.0,62.5,62.5,4.04,58.46,11.692,62.5,58.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,58.46
94,,2025-01-24 14:00:00,,,,1.0,1.0,100.0,100.0,4.04,95.96,19.192,100.0,95.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,95.96
96,,2025-01-27 09:45:00,,,,1.0,1.0,-136.25,-136.25,4.04,-140.29,-20.0,-136.25,-140.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC LossLimit),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,40.28999999999999,-100.0
98,,2025-01-27 18:00:00,,,,-1.0,1.0,48.75,48.75,4.04,44.71,8.942,48.75,44.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,44.71
100,,2025-01-28 07:30:00,,,,-1.0,1.0,-103.75,-103.75,4.04,-107.79,-20.0,-103.75,-107.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC LossLimit),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,7.790000000000006,-100.0
102,,2025-01-28 09:45:00,,,,-1.0,1.0,-123.75,-123.75,4.04,-127.79,-20.0,-123.75,-127.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC LossLimit),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,27.790000000000006,-100.0
104,,2025-01-28 15:30:00,,,,-1.0,1.0,145.0,145.0,4.04,140.96,28.192,145.0,140.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,140.96
106,,2025-01-29 14:45:00,,,,1.0,1.0,-53.75,-53.75,4.04,-57.79,-11.558,-53.75,-57.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-57.79
108,,2025-01-30 10:00:00,,,,1.0,1.0,-131.25,-131.25,4.04,-135.29,-20.0,-131.25,-135.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,35.28999999999999,-100.0
110,,2025-01-30 14:15:00,,,,1.0,1.0,-132.5,-132.5,4.04,-136.54,-20.0,-132.5,-136.54,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,36.53999999999999,-100.0
112,,2025-01-30 15:45:00,,,,-1.0,1.0,-77.5,-77.5,4.04,-81.54,-16.308,-77.5,-81.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-81.54
114,,2025-01-31 10:45:00,,,,-1.0,1.0,58.75,58.75,4.04,54.71,10.942,58.75,54.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,54.71
116,,2025-01-31 14:45:00,,,,1.0,1.0,126.25,126.25,4.04,122.21,24.442,126.25,122.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,122.21
