Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
74,,2025-02-26 16:30:00,,,1.0,-173.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-177.79,-173.75,Unknown,Unknown
76,,2025-02-28 16:00:00,,,-1.0,206.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,202.21,206.25,Unknown,Unknown
78,,2025-03-04 15:30:00,,,-1.0,252.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,248.46,252.5,Unknown,Unknown
80,,2025-03-05 14:15:00,,,-1.0,215.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,210.96,215.0,Unknown,Unknown
82,,2025-03-06 18:00:00,,,1.0,-82.5,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-86.54,-82.5,Unknown,Unknown
84,,2025-03-07 13:45:00,,,1.0,-260.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-264.04,-260.0,Unknown,Unknown
86,,2025-03-09 18:00:00,,,-1.0,13.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,9.71,13.75,Unknown,Unknown
88,,2025-03-12 18:00:00,,,1.0,-20.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-24.04,-20.0,Unknown,Unknown
90,,2025-03-13 18:00:00,,,1.0,-53.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-57.79,-53.75,Unknown,Unknown
92,,2025-03-16 18:00:00,,,-1.0,-8.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-12.79,-8.75,Unknown,Unknown
94,,2025-03-17 18:00:00,,,-1.0,3.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-0.29000000000000004,3.75,Unknown,Unknown
96,,2025-03-19 15:00:00,,,-1.0,142.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,138.46,142.5,Unknown,Unknown
98,,2025-03-21 16:00:00,,,-1.0,156.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,152.21,156.25,Unknown,Unknown
100,,2025-03-24 16:00:00,,,-1.0,71.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,67.21,71.25,Unknown,Unknown
102,,2025-03-25 16:15:00,,,1.0,-76.25,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-80.29,-76.25,Unknown,Unknown
104,,2025-03-27 18:00:00,,,-1.0,-68.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-72.79,-68.75,Unknown,Unknown
106,,2025-04-01 12:15:00,,,-1.0,213.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,209.71,213.75,Unknown,Unknown
108,,2025-04-02 16:15:00,,,-1.0,207.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,203.46,207.5,Unknown,Unknown
110,,2025-04-03 15:30:00,,,1.0,210.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,205.96,210.0,Unknown,Unknown
112,,2025-04-08 12:45:00,,,1.0,361.25,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,357.21,361.25,Unknown,Unknown
114,,2025-04-09 13:15:00,,,1.0,-566.25,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-570.29,-566.25,Unknown,Unknown
116,,2025-04-10 18:00:00,,,1.0,-128.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-132.79,-128.75,Unknown,Unknown
