DOW,count,sum,mean,win_rate_pct,profit_factor,low_sample_flag
Monday,39.0,922.4399999999999,23.65230769230769,46.15384615384615,1.39656247178742,False
Tuesday,38.0,670.2299999999999,17.637631578947367,47.368421052631575,1.3152836579170195,False
Wednesday,39.0,-1231.31,-31.57205128205128,46.15384615384615,0.6521565946483457,False
Thursday,31.0,286.01,9.226129032258065,54.83870967741935,1.1565839611072177,False
Friday,27.0,945.92,35.03407407407407,62.96296296296296,1.6091313027239362,True
Saturday,,,,,,True
Sunday,,,,,,True
