DOW,count,sum,mean,win_rate_pct,profit_factor,low_sample_flag
Monday,39.0,1547.1699999999998,39.671025641025636,46.15384615384615,1.9093725019984018,False
Tuesday,38.0,1067.1699999999998,28.083421052631575,47.368421052631575,1.6172680263294885,False
Wednesday,39.0,398.41999999999996,10.215897435897435,46.15384615384615,1.208584845898927,False
Thursday,31.0,843.6199999999999,27.213548387096772,54.83870967741935,1.6648173686906496,False
Friday,27.0,1622.3700000000001,60.08777777777778,62.96296296296296,2.8510696559986313,True
Saturday,,,,,,True
Sunday,,,,,,True
