Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
44,,2025-01-15 07:00:00,,,,-1.0,1.0,70.0,70.0,4.04,65.96,14.0,70.0,65.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
46,,2025-01-16 10:15:00,,,,1.0,1.0,92.5,92.5,4.04,88.46,18.5,92.5,88.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
48,,2025-01-17 08:15:00,,,,-1.0,1.0,80.0,80.0,4.04,75.96,16.0,80.0,75.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
50,,2025-01-20 08:45:00,,,,1.0,1.0,-66.25,-66.25,4.04,-70.29,-13.25,-66.25,-70.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
52,,2025-01-20 20:00:00,,,,-1.0,1.0,-185.0,-185.0,4.04,-189.04,-37.0,-185.0,-189.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
54,,2025-01-21 10:15:00,,,,-1.0,1.0,-78.75,-78.75,4.04,-82.79,-15.75,-78.75,-82.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
56,,2025-01-22 10:15:00,,,,-1.0,1.0,57.5,57.5,4.04,53.46,11.5,57.5,53.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
58,,2025-01-23 11:15:00,,,,-1.0,1.0,66.25,66.25,4.04,62.21,13.25,66.25,62.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
60,,2025-01-24 09:45:00,,,,1.0,1.0,-78.75,-78.75,4.04,-82.79,-15.75,-78.75,-82.79,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
62,,2025-01-27 06:00:00,,,,1.0,1.0,193.75,193.75,4.04,189.71,38.75,193.75,189.71,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
64,,2025-01-27 10:00:00,,,,1.0,1.0,-190.0,-190.0,4.04,-194.04,-38.0,-190.0,-194.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
66,,2025-01-28 10:00:00,,,,-1.0,1.0,-156.25,-156.25,4.04,-160.29,-31.25,-156.25,-160.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
68,,2025-01-29 08:30:00,,,,1.0,1.0,72.5,72.5,4.04,68.46,14.5,72.5,68.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
70,,2025-01-30 10:00:00,,,,1.0,1.0,-132.5,-132.5,4.04,-136.54,-26.5,-132.5,-136.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
72,,2025-01-31 09:15:00,,,,-1.0,1.0,-55.0,-55.0,4.04,-59.04,-11.0,-55.0,-59.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
74,,2025-02-04 10:15:00,,,,-1.0,1.0,126.25,126.25,4.04,122.21,25.25,126.25,122.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
76,,2025-02-05 12:00:00,,,,-1.0,1.0,103.75,103.75,4.04,99.71,20.75,103.75,99.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
