Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,HoldMins,Commission,NetPL,GrossPL,Direction,Session
92,,2024-12-18 09:00:00,,,1.0,33.75,EMA_Inversion_33,Buy to Close,,4.04,29.71,33.75,Unknown,Unknown
94,,2024-12-18 09:30:00,,,-1.0,-40.0,EMA_Inversion_33,Sell to Close,,4.04,-44.04,-40.0,Unknown,Unknown
96,,2024-12-18 15:00:00,,,1.0,317.5,SuperSignal_v6,Buy to Close,,4.04,313.46,317.5,Unknown,Unknown
98,,2024-12-19 06:00:00,,,1.0,1.25,EMA_Inversion_33,Buy to Close,,4.04,-2.79,1.25,Unknown,Unknown
100,,2024-12-19 06:15:00,,,-1.0,18.75,EMA_Inversion_33,Sell to Close,,4.04,14.71,18.75,Unknown,Unknown
102,,2024-12-19 09:00:00,,,1.0,-72.5,EMA_Inversion_33,Buy to Close,,4.04,-76.54,-72.5,Unknown,Unknown
104,,2024-12-19 09:15:00,,,-1.0,32.5,EMA_Inversion_33,Sell to Close,,4.04,28.46,32.5,Unknown,Unknown
106,,2024-12-19 09:30:00,,,1.0,-13.75,EMA_Inversion_33,Buy to Close,,4.04,-17.79,-13.75,Unknown,Unknown
108,,2024-12-20 06:15:00,,,-1.0,-487.5,EMA_Inversion_33,Sell to Close,,4.04,-491.54,-487.5,Unknown,Unknown
110,,2024-12-20 06:30:00,,,1.0,16.25,EMA_Inversion_33,Buy to Close,,4.04,12.21,16.25,Unknown,Unknown
112,,2024-12-20 07:45:00,,,-1.0,-22.5,EMA_Inversion_33,Sell to Close,,4.04,-26.54,-22.5,Unknown,Unknown
114,,2024-12-20 08:15:00,,,1.0,6.25,EMA_Inversion_33,Buy to Close,,4.04,2.21,6.25,Unknown,Unknown
116,,2024-12-20 08:45:00,,,-1.0,117.5,EMA_Inversion_33,Sell to Close,,4.04,113.46,117.5,Unknown,Unknown
118,,2024-12-20 09:30:00,,,1.0,-8.75,EMA_Inversion_33,Buy to Close,,4.04,-12.79,-8.75,Unknown,Unknown
120,,2024-12-20 10:45:00,,,-1.0,280.0,SuperSignal_v6,Sell to Close,,4.04,275.96,280.0,Unknown,Unknown
122,,2024-12-20 15:30:00,,,-1.0,-91.25,SuperSignal_v6,Sell to Close,,4.04,-95.29,-91.25,Unknown,Unknown
124,,2024-12-23 07:30:00,,,-1.0,-51.25,EMA_Inversion_33,Sell to Close,,4.04,-55.29,-51.25,Unknown,Unknown
126,,2024-12-23 08:15:00,,,1.0,18.75,EMA_Inversion_33,Buy to Close,,4.04,14.71,18.75,Unknown,Unknown
128,,2024-12-23 14:30:00,,,-1.0,150.0,SuperSignal_v6,Sell to Close,,4.04,145.96,150.0,Unknown,Unknown
130,,2024-12-23 15:45:00,,,-1.0,60.0,SuperSignal_v6,Sell to Close,,4.04,55.96,60.0,Unknown,Unknown
132,,2024-12-26 03:15:00,,,1.0,-296.25,EMA_Inversion_33,Buy to Close,,4.04,-300.29,-296.25,Unknown,Unknown
134,,2024-12-26 07:30:00,,,-1.0,-85.0,EMA_Inversion_33,Sell to Close,,4.04,-89.04,-85.0,Unknown,Unknown
136,,2024-12-26 07:45:00,,,1.0,15.0,EMA_Inversion_33,Buy to Close,,4.04,10.96,15.0,Unknown,Unknown
138,,2024-12-26 12:30:00,,,-1.0,146.25,SuperSignal_v6,Sell to Close,,4.04,142.21,146.25,Unknown,Unknown
140,,2024-12-26 18:00:00,,,-1.0,-38.75,SuperSignal_v6,Sell to Close,,4.04,-42.79,-38.75,Unknown,Unknown
142,,2024-12-27 09:30:00,,,-1.0,-107.5,EMA_Inversion_33,Sell to Close,,4.04,-111.54,-107.5,Unknown,Unknown
144,,2024-12-27 12:30:00,,,1.0,333.75,SuperSignal_v6,Buy to Close,,4.04,329.71,333.75,Unknown,Unknown
146,,2024-12-27 16:00:00,,,1.0,-90.0,SuperSignal_v6,Buy to Close,,4.04,-94.04,-90.0,Unknown,Unknown
148,,2024-12-30 06:30:00,,,-1.0,22.5,EMA_Inversion_33,Sell to Close,,4.04,18.46,22.5,Unknown,Unknown
150,,2024-12-30 07:15:00,,,1.0,35.0,EMA_Inversion_33,Buy to Close,,4.04,30.96,35.0,Unknown,Unknown
152,,2024-12-30 16:00:00,,,-1.0,-236.25,SuperSignal_v6,Sell to Close,,4.04,-240.29,-236.25,Unknown,Unknown
154,,2024-12-31 04:15:00,,,-1.0,80.0,EMA_Inversion_33,Sell to Close,,4.04,75.96,80.0,Unknown,Unknown
156,,2024-12-31 12:45:00,,,1.0,207.5,SuperSignal_v6,Buy to Close,,4.04,203.46,207.5,Unknown,Unknown
158,,2025-01-01 18:00:00,,,1.0,-2.5,SuperSignal_v6,Buy to Close,,4.04,-6.54,-2.5,Unknown,Unknown
160,,2025-01-02 03:30:00,,,1.0,81.25,EMA_Inversion_33,Buy to Close,,4.04,77.21,81.25,Unknown,Unknown
162,,2025-01-02 04:00:00,,,-1.0,32.5,EMA_Inversion_33,Sell to Close,,4.04,28.46,32.5,Unknown,Unknown
164,,2025-01-02 09:15:00,,,1.0,-38.75,EMA_Inversion_33,Buy to Close,,4.04,-42.79,-38.75,Unknown,Unknown
166,,2025-01-02 10:30:00,,,-1.0,-121.25,SuperSignal_v6,Sell to Close,,4.04,-125.29,-121.25,Unknown,Unknown
168,,2025-01-02 13:00:00,,,1.0,167.5,SuperSignal_v6,Buy to Close,,4.04,163.46,167.5,Unknown,Unknown
170,,2025-01-02 15:45:00,,,1.0,-125.0,SuperSignal_v6,Buy to Close,,4.04,-129.04,-125.0,Unknown,Unknown
172,,2025-01-03 06:45:00,,,1.0,37.5,EMA_Inversion_33,Buy to Close,,4.04,33.46,37.5,Unknown,Unknown
174,,2025-01-03 08:30:00,,,-1.0,38.75,EMA_Inversion_33,Sell to Close,,4.04,34.71,38.75,Unknown,Unknown
176,,2025-01-03 09:30:00,,,1.0,-42.5,EMA_Inversion_33,Buy to Close,,4.04,-46.54,-42.5,Unknown,Unknown
178,,2025-01-03 14:45:00,,,-1.0,255.0,SuperSignal_v6,Sell to Close,,4.04,250.96,255.0,Unknown,Unknown
