DOW,count,sum,mean,win_rate_pct,profit_factor,low_sample_flag
Monday,47.0,3083.4900000000002,65.60617021276596,63.829787234042556,3.9640107275715897,False
Tuesday,59.0,1491.17,25.274067796610172,45.76271186440678,1.7901284938402438,False
Wednesday,70.0,736.93,10.527571428571427,41.42857142857143,1.3036182204716624,False
Thursday,60.0,861.84,14.364,41.66666666666667,1.4356225453773486,False
Friday,52.0,2440.99,46.94211538461538,44.230769230769226,2.470617649893966,False
Saturday,,,,,,True
Sunday,,,,,,True
