Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
80,,2025-01-01 18:00:00,,,1.0,-2.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-6.54,-2.5,Unknown,Unknown
82,,2025-01-02 10:30:00,,,-1.0,-136.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-140.29,-136.25,Unknown,Unknown
84,,2025-01-02 13:00:00,,,1.0,167.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,163.46,167.5,Unknown,Unknown
86,,2025-01-02 15:45:00,,,1.0,-125.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-129.04,-125.0,Unknown,Unknown
88,,2025-01-03 14:45:00,,,-1.0,145.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,140.96,145.0,Unknown,Unknown
90,,2025-01-06 11:30:00,,,-1.0,81.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,77.21,81.25,Unknown,Unknown
92,,2025-01-06 15:00:00,,,1.0,73.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,69.71,73.75,Unknown,Unknown
94,,2025-01-07 10:45:00,,,1.0,93.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,89.71,93.75,Unknown,Unknown
96,,2025-01-07 15:15:00,,,1.0,96.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,92.21,96.25,Unknown,Unknown
98,,2025-01-08 11:45:00,,,1.0,-117.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-121.54,-117.5,Unknown,Unknown
100,,2025-01-08 13:15:00,,,1.0,-122.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-126.54,-122.5,Unknown,Unknown
102,,2025-01-08 18:00:00,,,-1.0,-10.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-14.04,-10.0,Unknown,Unknown
104,,2025-01-10 13:30:00,,,1.0,-212.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-216.54,-212.5,Unknown,Unknown
106,,2025-01-12 18:00:00,,,1.0,106.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,102.21,106.25,Unknown,Unknown
108,,2025-01-13 10:30:00,,,-1.0,-88.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-92.79,-88.75,Unknown,Unknown
110,,2025-01-13 14:00:00,,,-1.0,83.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,79.71,83.75,Unknown,Unknown
112,,2025-01-14 12:00:00,,,1.0,163.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,159.71,163.75,Unknown,Unknown
114,,2025-01-14 16:15:00,,,1.0,-100.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-104.04,-100.0,Unknown,Unknown
116,,2025-01-15 11:45:00,,,-1.0,-102.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-106.54,-102.5,Unknown,Unknown
118,,2025-01-15 14:30:00,,,-1.0,67.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,63.46,67.5,Unknown,Unknown
120,,2025-01-16 11:15:00,,,1.0,-76.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-80.29,-76.25,Unknown,Unknown
122,,2025-01-16 14:00:00,,,1.0,68.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,64.71,68.75,Unknown,Unknown
124,,2025-01-16 16:15:00,,,1.0,71.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,67.21,71.25,Unknown,Unknown
126,,2025-01-17 13:30:00,,,-1.0,96.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,92.21,96.25,Unknown,Unknown
128,,2025-01-21 10:45:00,,,1.0,-83.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-87.79,-83.75,Unknown,Unknown
130,,2025-01-21 13:30:00,,,-1.0,78.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,74.71,78.75,Unknown,Unknown
132,,2025-01-21 16:15:00,,,-1.0,41.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,37.21,41.25,Unknown,Unknown
134,,2025-01-22 14:15:00,,,-1.0,18.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,14.71,18.75,Unknown,Unknown
136,,2025-01-22 16:00:00,,,-1.0,-35.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-39.04,-35.0,Unknown,Unknown
138,,2025-01-23 11:30:00,,,-1.0,41.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,37.21,41.25,Unknown,Unknown
140,,2025-01-23 16:00:00,,,-1.0,36.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,32.21,36.25,Unknown,Unknown
142,,2025-01-24 13:00:00,,,1.0,35.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,30.96,35.0,Unknown,Unknown
144,,2025-01-27 11:30:00,,,-1.0,-106.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-110.29,-106.25,Unknown,Unknown
146,,2025-01-27 15:00:00,,,-1.0,-93.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-97.79,-93.75,Unknown,Unknown
148,,2025-01-28 13:30:00,,,-1.0,115.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,110.96,115.0,Unknown,Unknown
150,,2025-01-28 15:00:00,,,-1.0,58.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,54.71,58.75,Unknown,Unknown
