Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
158,,2025-04-09 14:30:00,,,,-1.0,1.0,785.0,785.0,4.04,780.96,157.0,785.0,780.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
160,,2025-04-10 12:15:00,,,,1.0,1.0,438.75,438.75,4.04,434.71,87.75,438.75,434.71,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
162,,2025-04-13 18:00:00,,,,-1.0,1.0,-53.75,-53.75,4.04,-57.79,-10.75,-53.75,-57.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
164,,2025-04-14 18:00:00,,,,1.0,1.0,16.25,16.25,4.04,12.21,3.25,16.25,12.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
166,,2025-04-15 18:00:00,,,,1.0,1.0,5.0,5.0,4.04,0.96,1.0,5.0,0.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
168,,2025-04-16 13:15:00,,,,-1.0,1.0,-212.5,-212.5,4.04,-216.54,-42.5,-212.5,-216.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
170,,2025-04-16 15:00:00,,,,1.0,1.0,208.75,208.75,4.04,204.71,41.75,208.75,204.71,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
172,,2025-04-17 12:30:00,,,,1.0,1.0,-217.5,-217.5,4.04,-221.54,-43.5,-217.5,-221.54,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
174,,2025-04-21 15:45:00,,,,1.0,1.0,-133.75,-133.75,4.04,-137.79,-26.75,-133.75,-137.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
176,,2025-04-23 18:00:00,,,,1.0,1.0,73.75,73.75,4.04,69.71,14.75,73.75,69.71,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
178,,2025-04-27 18:00:00,,,,-1.0,1.0,88.75,88.75,4.04,84.71,17.75,88.75,84.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
180,,2025-04-28 11:30:00,,,,1.0,1.0,163.75,163.75,4.04,159.71,32.75,163.75,159.71,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
182,,2025-04-29 18:00:00,,,,-1.0,1.0,67.5,67.5,4.04,63.46,13.5,67.5,63.46,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
184,,2025-04-30 16:00:00,,,,-1.0,1.0,335.0,335.0,4.04,330.96,67.0,335.0,330.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
186,,2025-05-01 16:00:00,,,,-1.0,1.0,-162.5,-162.5,4.04,-166.54,-32.5,-162.5,-166.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
188,,2025-05-04 18:00:00,,,,-1.0,1.0,-45.0,-45.0,4.04,-49.04,-9.0,-45.0,-49.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
190,,2025-05-05 12:30:00,,,,-1.0,1.0,111.25,111.25,4.04,107.21,22.25,111.25,107.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
