scope,strategy_name,version,timeframe,initial_capital,point_value,num_trades,net_profit,gross_profit,total_return_pct,total_return_pct_gross,avg_monthly_return,CAGR,profit_factor,profit_factor_gross,win_rate_pct,avg_win_dollars,avg_loss_dollars,avg_win_points_per_contract,avg_loss_points_per_contract,largest_winning_trade_points_per_contract,largest_losing_trade_points_per_contract,expectancy_per_trade_dollars,expectancy_per_trade_dollars_gross,max_drawdown_pct,max_drawdown_dollars,avg_drawdown_pct,recovery_factor,per_trade_sharpe_proxy,per_trade_sortino_proxy,sharpe_annualized,sortino_annualized,largest_winning_trade,largest_losing_trade,vol_of_trade_returns,avg_win_over_avg_loss,largest_win_over_largest_loss,exit_reason_counts,exit_reason_avg_netpl,exit_reason_profit_factor,exit_reason_by_strategy_bucket,sl_total_corrections,sl_num_breaches,max_win_streak,max_loss_streak,max_win_streak_range,max_loss_streak_range,instrument,csv
RTH,SuperSignal_v7_PreMarket45_43,1.3.1,180d:15m,2500.0,5.0,121,4501.89,3775.0,180.0756,151.0,0.1477393757336796,3.26903800177415,1.8776383893323982,1.6173344235486509,52.892561983471076,150.49125000000004,-89.99210526315788,30.09825,-17.998421052631578,146.942,-20.0,37.205702479338846,31.198347107438018,14.401276544803155,986.4499999999998,-3.7872214152683417,4.563728521465864,0.25650349787881155,0.7937824167139231,2.7831484092428593,8.612803679605493,734.71,-100.0,0.05801979744840307,1.6722716904991672,7.3471,{'Close': 121},{'Close': 37.205702479338846},{'Close': 1.8776383893323982},"{'Premarket45': {'Close': {'count': 121, 'avg_adj_netpl': 37.205702479338846, 'sum_adj_netpl': 4501.89}}}",1215.73,37,6,5,"[10, 15]","[75, 79]",/MES,Q-Learning_Report_SuperSig_PM45_v7_43_Date9425.csv
RTH,SuperSignal_v7_RTH15_v43,1.3.1,180d:15m,2500.0,5.0,97,4256.7300000000005,2626.25,170.2692,105.05,0.12513064818474076,3.0599097749754005,1.9390328913988226,1.413094769956744,49.48453608247423,183.12145833333338,-92.51224489795918,36.62429166666667,-18.502448979591833,258.692,-20.0,43.883814432989695,27.074742268041238,15.884687926032981,1239.7299999999996,-5.477480358333414,3.433594411686417,0.21561042048054355,0.9231249222443102,2.094623646398601,8.96802337476675,1293.46,-100.0,0.08141316052384344,1.9794294099696315,12.9346,{'Close': 97},{'Close': 43.88381443298969},{'Close': 1.9390328913988226},"{'RTH15': {'Close': {'count': 97, 'avg_adj_netpl': 43.88381443298969, 'sum_adj_netpl': 4256.73}}}",2022.3599999999997,34,7,7,"[35, 41]","[66, 72]",/MES,Q-Learning_Report_SuperSig_RTH15_v7_43_Date9425.csv
RTH,SuperSignal_v7_RTH15_v43,1.3.1,180d:15m,2500.0,5.0,196,7369.89,5302.5,294.7956,212.1,0.1809162024540517,5.925441341942847,1.8471926696623477,1.474921630094044,50.0,163.97020408163266,-88.76724489795919,32.794040816326536,-17.753448979591834,258.692,-20.0,37.601479591836735,27.053571428571427,15.306607935213101,1656.8500000000004,-5.321273122430269,4.448133506352415,0.2178156389185363,0.8055487771608693,3.007928318428046,11.12423786798653,1293.46,-100.0,0.06905193727783669,1.847192669662348,12.9346,{'Close': 196},{'Close': 37.60147959183673},{'Close': 1.8471926696623477},"{'RTH15': {'Close': {'count': 196, 'avg_adj_netpl': 37.60147959183673, 'sum_adj_netpl': 7369.889999999999}}}",2859.2299999999996,62,8,8,"[18, 25]","[104, 111]",/MES,Q-Learning_SuperSig_RTH15_PM45_Date9425.csv
RTH,EMA_Inversion_33,1.3.1,180d:15m,2500.0,5.0,85,-3530.97,-4497.5,-141.2388,-179.9,0.5599393535920403,,0.1494364456692193,0.13217559093101786,18.823529411764707,38.77250000000001,-60.16420289855073,7.7545,-12.032840579710143,38.442,-20.0,-41.54082352941176,-52.911764705882355,142.95708333333326,3430.969999999998,-82.69171078431367,-1.0291462764174568,-0.7820965305064602,-1.0657310959310107,-7.126236635919093,-9.710632490523547,192.21,-100.0,0.02124588048102516,0.6444446719485082,1.9221000000000001,{'Close': 85},{'Close': -41.54082352941177},{'Close': 0.1494364456692193},"{'Other': {'Close': {'count': 85, 'avg_adj_netpl': -41.54082352941177, 'sum_adj_netpl': -3530.9700000000003}}}",1309.93,17,2,16,"[38, 39]","[0, 15]",/MES,StrategyReports_EMA_Inversion_33_82025.csv
RTH,EMA_Inversion_33,1.3.1,180d:15m,2500.0,5.0,288,8614.420000000002,7338.75,344.57680000000005,293.55,0.19156740892380184,7.187091684481029,1.9579060088046554,1.678728323699422,46.52777777777778,131.3984328358209,-58.395909090909086,26.279686567164184,-11.679181818181819,134.442,-20.0,29.91118055555556,25.481770833333332,22.73890033469408,649.5000000000437,-2.940615152131729,13.263156274056078,0.24006133829174972,0.786549841602512,4.018545177133984,13.16657690504886,672.21,-100.0,0.0498392298708326,2.250130786238186,6.7221,{'Close': 288},{'Close': 29.911180555555557},{'Close': 1.9579060088046554},"{'Other': {'Close': {'count': 288, 'avg_adj_netpl': 29.911180555555557, 'sum_adj_netpl': 8614.42}}}",2439.19,36,7,8,"[201, 207]","[218, 225]",/MES,StrategyReports_MESXCME_81425.csv
RTH,SuperSignal_v7_PreMarket45_43,1.3.1,180d:15m,2500.0,5.0,174,5478.75,2296.25,219.15,91.85,0.20334444191002488,4.299617995690233,1.731892547553813,1.2083002608005442,50.57471264367817,147.32363636363638,-87.04337209302324,29.464727272727274,-17.408674418604647,248.942,-20.0,31.487068965517242,13.19683908045977,22.275687619933716,825.1100000000006,-5.221442888402086,6.640023754408499,0.20012214963245567,0.6851124783540709,2.629379032908185,9.001604215607545,1244.71,-100.0,0.06293570006787631,1.6925313532912263,12.4471,{'Close': 174},{'Close': 31.487068965517242},{'Close': 1.731892547553813},"{'Premarket45': {'Close': {'count': 174, 'avg_adj_netpl': 31.487068965517242, 'sum_adj_netpl': 5478.75}}}",3885.4599999999996,49,7,7,"[71, 77]","[78, 84]",/MES,StrategyReports_PM_RTH_83125.csv
RTH,SuperSignal_v7_PreMarket45_43,1.3.1,180d:15m,2500.0,5.0,112,3771.8,1607.5,150.872,64.3,0.18701078172524616,2.7695089871377596,1.7620182837517038,1.2191173964900324,49.107142857142854,158.5736363636363,-86.83771929824562,31.714727272727277,-17.367543859649125,248.942,-20.0,33.676785714285714,14.352678571428571,35.72919470811535,1048.08,-8.180180360621767,3.598771086176628,0.19294657065702314,0.7341302287746848,2.0379150902547765,7.753934502891692,1244.71,-100.0,0.06981577459419828,1.8260916758881294,12.4471,{'Close': 112},{'Close': 33.676785714285714},{'Close': 1.7620182837517038},"{'Premarket45': {'Close': {'count': 112, 'avg_adj_netpl': 33.676785714285714, 'sum_adj_netpl': 3771.7999999999997}}}",2616.7799999999997,32,5,11,"[48, 52]","[62, 72]",/MES,StrategyReports_PreMarket_83125.csv
RTH,SuperSignal_v7_RTH15_v43,1.3.1,180d:15m,2500.0,5.0,75,2528.38,1335.0,101.1352,53.400000000000006,0.08999083265904101,1.751541017810705,1.824398260155073,1.3013544018058691,56.00000000000001,133.22190476190477,-92.93757575757576,26.64438095238095,-18.587515151515152,89.942,-20.0,33.711733333333335,17.8,13.870408656379096,763.4799999999996,-3.925078958514891,3.3116519096767454,0.26075256063031726,0.7152554979300774,2.2581834160769687,6.19429431403935,449.71,-100.0,0.051714519315694436,1.433455775836129,4.4971,{'Close': 75},{'Close': 33.711733333333335},{'Close': 1.824398260155073},"{'RTH15': {'Close': {'count': 75, 'avg_adj_netpl': 33.711733333333335, 'sum_adj_netpl': 2528.38}}}",1496.3799999999999,22,6,5,"[13, 18]","[56, 60]",/MES,StrategyReports_RTH_83125.csv
RTH,SuperSignal_v7,1.3.1,180d:15m,2500.0,5.0,306,6751.719999999999,5748.75,270.06879999999995,229.95000000000002,0.1939509082221177,5.322100546492161,1.6530170892142293,1.477818181818182,55.22875816993464,101.13011834319529,-75.46912408759124,20.226023668639055,-15.09382481751825,105.19200000000001,-20.0,22.064444444444444,18.78676470588235,17.357193085741397,1016.0199999999986,-4.131609125299599,6.645262888525825,0.21056354263252697,0.5315521268966477,3.63324161876972,9.17185038702009,525.96,-100.0,0.04191503271380849,1.3400197705464463,5.259600000000001,{'Close': 306},{'Close': 22.064444444444444},{'Close': 1.6530170892142293},"{'Other': {'Close': {'count': 306, 'avg_adj_netpl': 22.064444444444444, 'sum_adj_netpl': 6751.719999999999}}}",2239.21,49,6,6,"[27, 32]","[266, 271]",/MES,StrategyReports_SuperSignal_v7_82025.csv
