DOW,count,sum,mean,win_rate_pct,profit_factor,low_sample_flag
Monday,15.0,1272.48,84.83200000000001,66.66666666666666,3.911054172767203,True
Tuesday,19.0,986.23,51.90684210526316,42.10526315789473,1.9774815402150752,True
Wednesday,28.0,310.65,11.094642857142857,35.714285714285715,1.1865541676675477,True
Thursday,21.0,934.6899999999999,44.509047619047614,57.14285714285714,2.1373276711728706,True
Friday,14.0,752.68,53.762857142857136,57.14285714285714,2.254466666666666,True
Saturday,,,,,,True
Sunday,,,,,,True
