Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
72,,2025-01-31 09:15:00,,,-1.0,-55.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-59.04,-55.0,Unknown,Unknown
74,,2025-02-04 10:15:00,,,-1.0,126.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,122.21,126.25,Unknown,Unknown
76,,2025-02-05 12:00:00,,,-1.0,103.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,99.71,103.75,Unknown,Unknown
78,,2025-02-06 09:30:00,,,1.0,-76.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-80.29,-76.25,Unknown,Unknown
80,,2025-02-10 09:45:00,,,-1.0,-17.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-21.54,-17.5,Unknown,Unknown
82,,2025-02-11 10:15:00,,,1.0,-100.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-104.04,-100.0,Unknown,Unknown
84,,2025-02-12 08:15:00,,,1.0,-72.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-76.54,-72.5,Unknown,Unknown
86,,2025-02-12 18:00:00,,,1.0,-246.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-250.29,-246.25,Unknown,Unknown
88,,2025-02-13 10:45:00,,,-1.0,147.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,143.46,147.5,Unknown,Unknown
90,,2025-02-14 10:15:00,,,1.0,-70.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-74.04,-70.0,Unknown,Unknown
92,,2025-02-17 09:45:00,,,-1.0,-38.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-42.79,-38.75,Unknown,Unknown
94,,2025-02-18 14:15:00,,,1.0,90.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,85.96,90.0,Unknown,Unknown
96,,2025-02-19 14:15:00,,,1.0,-63.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-67.79,-63.75,Unknown,Unknown
98,,2025-02-20 07:00:00,,,-1.0,-46.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-50.29,-46.25,Unknown,Unknown
100,,2025-02-21 09:45:00,,,-1.0,-48.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-52.79,-48.75,Unknown,Unknown
102,,2025-02-24 09:45:00,,,-1.0,-110.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-114.04,-110.0,Unknown,Unknown
104,,2025-02-25 10:00:00,,,-1.0,-130.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-134.04,-130.0,Unknown,Unknown
106,,2025-02-26 09:45:00,,,-1.0,-81.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-85.29,-81.25,Unknown,Unknown
108,,2025-02-27 09:00:00,,,-1.0,-92.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-96.54,-92.5,Unknown,Unknown
110,,2025-02-28 08:30:00,,,-1.0,-83.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-87.79,-83.75,Unknown,Unknown
112,,2025-03-03 09:45:00,,,-1.0,-102.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-106.54,-102.5,Unknown,Unknown
114,,2025-03-04 09:45:00,,,1.0,166.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,162.21,166.25,Unknown,Unknown
116,,2025-03-05 11:15:00,,,1.0,200.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,195.96,200.0,Unknown,Unknown
118,,2025-03-06 09:45:00,,,1.0,170.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,165.96,170.0,Unknown,Unknown
120,,2025-03-07 08:30:00,,,-1.0,-173.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-177.79,-173.75,Unknown,Unknown
122,,2025-03-10 10:15:00,,,1.0,292.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,288.46,292.5,Unknown,Unknown
124,,2025-03-11 09:00:00,,,-1.0,-106.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-110.29,-106.25,Unknown,Unknown
126,,2025-03-12 08:45:00,,,-1.0,257.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,253.46,257.5,Unknown,Unknown
128,,2025-03-13 11:45:00,,,-1.0,-306.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-310.29,-306.25,Unknown,Unknown
130,,2025-03-14 11:00:00,,,-1.0,216.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,212.21,216.25,Unknown,Unknown
132,,2025-03-17 14:15:00,,,-1.0,365.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,360.96,365.0,Unknown,Unknown
134,,2025-03-18 06:30:00,,,-1.0,-88.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-92.79,-88.75,Unknown,Unknown
136,,2025-03-18 10:00:00,,,1.0,170.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,165.96,170.0,Unknown,Unknown
138,,2025-03-19 10:15:00,,,-1.0,150.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,145.96,150.0,Unknown,Unknown
140,,2025-03-20 06:15:00,,,1.0,97.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,93.46,97.5,Unknown,Unknown
142,,2025-03-20 10:15:00,,,1.0,-143.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-147.79,-143.75,Unknown,Unknown
144,,2025-03-21 08:45:00,,,1.0,98.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,94.71,98.75,Unknown,Unknown
146,,2025-03-24 10:00:00,,,-1.0,128.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,124.71,128.75,Unknown,Unknown
148,,2025-03-25 07:00:00,,,1.0,-65.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-69.04,-65.0,Unknown,Unknown
150,,2025-03-26 10:30:00,,,1.0,88.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,84.71,88.75,Unknown,Unknown
152,,2025-03-27 09:45:00,,,1.0,130.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,125.96,130.0,Unknown,Unknown
154,,2025-03-28 10:15:00,,,1.0,162.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,158.46,162.5,Unknown,Unknown
156,,2025-03-31 11:30:00,,,1.0,-150.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-154.04,-150.0,Unknown,Unknown
158,,2025-04-01 10:30:00,,,1.0,167.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,163.46,167.5,Unknown,Unknown
160,,2025-04-02 08:30:00,,,1.0,151.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,147.21,151.25,Unknown,Unknown
162,,2025-04-03 15:30:00,,,1.0,345.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,340.96,345.0,Unknown,Unknown
164,,2025-04-04 06:30:00,,,1.0,276.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,272.21,276.25,Unknown,Unknown
166,,2025-04-04 11:00:00,,,1.0,542.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,538.46,542.5,Unknown,Unknown
168,,2025-04-07 10:15:00,,,-1.0,1248.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,1244.71,1248.75,Unknown,Unknown
170,,2025-04-08 10:15:00,,,-1.0,380.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,375.96,380.0,Unknown,Unknown
172,,2025-04-09 10:15:00,,,1.0,-835.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-839.04,-835.0,Unknown,Unknown
174,,2025-04-11 13:15:00,,,1.0,-481.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-485.29,-481.25,Unknown,Unknown
176,,2025-04-14 11:45:00,,,-1.0,-256.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-260.29,-256.25,Unknown,Unknown
178,,2025-04-15 09:45:00,,,1.0,-222.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-226.54,-222.5,Unknown,Unknown
180,,2025-04-16 04:30:00,,,1.0,-171.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-175.29,-171.25,Unknown,Unknown
182,,2025-04-16 10:15:00,,,-1.0,-196.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-200.29,-196.25,Unknown,Unknown
184,,2025-04-20 18:00:00,,,1.0,52.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,48.46,52.5,Unknown,Unknown
186,,2025-04-21 10:00:00,,,1.0,117.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,113.46,117.5,Unknown,Unknown
188,,2025-04-23 09:45:00,,,-1.0,218.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,214.71,218.75,Unknown,Unknown
190,,2025-04-24 07:00:00,,,1.0,-208.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-212.79,-208.75,Unknown,Unknown
192,,2025-04-24 10:30:00,,,-1.0,235.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,230.96,235.0,Unknown,Unknown
194,,2025-04-25 16:45:00,,,1.0,-246.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-250.29,-246.25,Unknown,Unknown
196,,2025-04-28 10:00:00,,,-1.0,137.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,133.46,137.5,Unknown,Unknown
