DOW,count,sum,mean,win_rate_pct,profit_factor,low_sample_flag
Monday,14.0,-960.3100000000001,-68.59357142857144,28.57142857142857,0.12631578947368421,True
Tuesday,18.0,-1272.72,-70.70666666666666,5.555555555555555,0.04570811588986864,True
Wednesday,20.0,-1334.5500000000002,-66.7275,20.0,0.1584851408357452,True
Thursday,19.0,-744.26,-39.171578947368424,21.052631578947366,0.07182141298247804,True
Friday,14.0,-529.06,-37.79,21.428571428571427,0.17423402893755172,True
Saturday,,,,,,True
Sunday,,,,,,True
