DOW,count,sum,mean,win_rate_pct,profit_factor,low_sample_flag
Monday,58.0,2806.93,48.39534482758621,70.6896551724138,3.381418196626735,False
Tuesday,61.0,1087.31,17.824754098360653,55.73770491803278,1.5179935971949616,False
Wednesday,68.0,34.02999999999994,0.5004411764705873,50.0,1.0101133479550415,False
Thursday,62.0,-397.9800000000001,-6.419032258064517,46.774193548387096,0.8761949498688784,False
Friday,57.0,982.2199999999998,17.2319298245614,54.385964912280706,1.3609391134351725,False
Saturday,,,,,,True
Sunday,,,,,,True
